feature,feature,type,p_value,relevant
"F_x__change_quantiles__f_agg_""var""__isabs_False__qh_0.2__ql_0.0","F_x__change_quantiles__f_agg_""var""__isabs_False__qh_0.2__ql_0.0",real,6.327582453245522e-16,True
F_x__sample_entropy,F_x__sample_entropy,real,1.2090145894471807e-15,True
"F_x__agg_linear_trend__f_agg_""var""__chunk_len_10__attr_""slope""","F_x__agg_linear_trend__f_agg_""var""__chunk_len_10__attr_""slope""",real,6.207705576207621e-15,True
"F_x__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0","F_x__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0",real,2.903623413307326e-14,True
F_x__ar_coefficient__k_10__coeff_4,F_x__ar_coefficient__k_10__coeff_4,real,3.732938227710751e-14,True
"F_x__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2","F_x__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2",real,4.994151316855324e-13,True
F_x__large_standard_deviation__r_0.35000000000000003,F_x__large_standard_deviation__r_0.35000000000000003,binary,5.486724113316397e-13,True
"F_x__fft_coefficient__coeff_2__attr_""angle""","F_x__fft_coefficient__coeff_2__attr_""angle""",real,1.6068876998234009e-12,True
F_x__autocorrelation__lag_4,F_x__autocorrelation__lag_4,real,3.0992113469012534e-12,True
F_x__partial_autocorrelation__lag_8,F_x__partial_autocorrelation__lag_8,real,4.144637693390206e-11,True
"F_x__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0","F_x__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0",real,4.958891783402447e-11,True
"F_x__fft_coefficient__coeff_90__attr_""angle""","F_x__fft_coefficient__coeff_90__attr_""angle""",real,1.0140930799269213e-10,True
"F_x__agg_linear_trend__f_agg_""var""__chunk_len_10__attr_""stderr""","F_x__agg_linear_trend__f_agg_""var""__chunk_len_10__attr_""stderr""",real,1.298954197924382e-10,True
F_x__large_standard_deviation__r_0.4,F_x__large_standard_deviation__r_0.4,binary,1.5159198775017085e-10,True
"F_x__change_quantiles__f_agg_""mean""__isabs_True__qh_0.2__ql_0.0","F_x__change_quantiles__f_agg_""mean""__isabs_True__qh_0.2__ql_0.0",real,1.7330730363614725e-10,True
